query,language,normalize_ms,lang_detect_ms,cache_lookup_ms,category_detect_ms,qa_vector_ms,qa_bm25_ms,pdf_vector_ms,pdf_bm25_ms,rrf_fusion_ms,mmr_ms,reranker_ms,gate_ms,llm_ms,cache_store_ms,total_ms,cache_hit
Agar main apni credit history improve karna chahta hoon to k,roman_urdu,23.12,0.07,0.31,0.25,17.37,0.0,17.37,0.0,0.0,0.0,0.0,0.03,1318.51,0.34,1377.51,0
Pension کا پیسہ کیسے invest کریں retirement میں؟,urdu,19.35,0.05,0.35,0.18,15.49,0.0,15.49,0.0,0.0,0.0,0.0,0.01,4611.23,0.34,4662.650000000001,0
Agar meri company mujhe bonus nahi deti to kya koi haq hai?,roman_urdu,20.74,0.05,0.32,0.2,16.8,0.0,16.8,0.0,0.0,0.0,0.0,0.01,3321.95,0.39,3377.37,0
کسی کو پیسے ادھار دینے سے پہلے کیا سوچنا چاہیے؟,urdu,22.18,0.06,0.33,0.19,17.07,0.0,17.07,0.0,0.0,0.0,0.0,0.01,4611.26,0.34,4668.62,0
HBL کی Konnect app کیا ہے؟,urdu,21.72,0.04,0.35,0.16,15.11,0.0,15.11,0.0,0.0,0.0,0.0,0.01,3585.76,0.4,3638.79,0
Pakistan میں اگر میں نے غلطی سے Zakat کم دی ہو تو کیا کروں؟,urdu,23.57,0.06,0.33,0.2,16.9,0.0,16.9,0.0,0.0,0.0,0.0,0.01,4409.16,0.36,4467.62,0
پاکستان میں ویلتھ مینجمنٹ سروس کیا ہے؟,urdu,20.8,0.05,0.36,0.17,15.97,0.0,15.97,0.0,0.0,0.0,0.0,0.01,5603.24,0.4,5657.099999999999,0
پاکستان میں سی ڈی اے منظور شدہ پلاٹ خریدنا کیوں ضروری ہے؟,urdu,20.81,0.07,0.32,0.21,16.09,0.0,16.09,0.0,0.0,0.0,0.0,0.01,5740.45,0.36,5794.54,0
پاکستان میں اسٹوڈنٹ لون کے لیے گریجویشن کے بعد کتنا وقت ملتا,urdu,21.29,0.09,0.3,0.21,17.41,0.0,17.41,0.0,0.0,0.0,0.0,0.01,5538.49,0.41,5595.75,0
Pakistan mein retirement planning ke liye kaun se financial ,roman_urdu,21.31,0.08,0.36,0.21,25.55,0.0,25.55,0.0,0.0,0.0,0.0,0.02,2260.66,0.35,2334.25,0
Pakistan mein bache ki paidaish par savings kaise shuru kare,roman_urdu,20.1,0.07,0.38,0.18,15.26,0.0,15.26,0.0,0.0,0.0,0.0,0.01,3355.22,0.35,3406.94,0
Pakistan میں کیا گھر کرایے پر لینے کے لیے Islamic finance مل,urdu,20.62,0.07,0.32,0.2,16.8,0.0,16.8,0.0,0.0,0.0,0.0,0.01,4572.58,0.38,4627.89,0
Pakistan mein kaun si bank account ki type sabse zyada fayde,roman_urdu,20.77,0.06,0.35,0.22,16.77,0.0,16.77,0.0,0.0,0.0,0.0,0.01,3277.29,0.37,3332.74,0
Pakistan میں SBP کا Banking Mohtasib کیا کرتا ہے؟,urdu,21.6,0.06,0.36,0.18,16.45,0.0,16.45,0.0,0.0,0.0,0.0,0.01,3456.36,0.39,3512.0,0
Agar main freelance income earn karta hoon to tax kaise file,roman_urdu,19.6,0.06,0.35,0.2,17.02,0.0,17.02,0.0,0.0,0.0,0.0,0.01,2331.58,0.37,2386.3199999999997,0
Pakistan mein apni monthly expenses tracking ke liye kaun si,roman_urdu,19.91,0.06,0.4,0.19,17.36,0.0,17.36,0.0,0.0,0.0,0.0,0.01,2346.9,0.42,2402.7400000000002,0
Online banking میں beneficiary add کیسے کریں؟,urdu,19.62,0.05,0.38,0.24,15.36,0.0,15.36,0.0,0.0,0.0,0.0,0.01,3474.96,0.42,3526.54,0
پاکستان میں کاروباری ناکامی کے بعد دوبارہ شروع کرنے کے لیے ک,urdu,20.84,0.08,0.39,0.2,17.05,0.0,17.05,0.0,0.0,0.0,0.0,0.01,4615.95,0.4,4672.099999999999,0
Pakistan میں HBL Mobile app سے کتنی رقم transfer کر سکتے ہیں,urdu,21.68,0.06,0.35,0.21,17.17,0.0,17.17,0.0,0.0,0.0,0.0,0.01,3404.12,0.41,3461.2999999999997,0
پاکستان میں کرپشن کی وجہ سے کاروبار کو مالی نقصان ہو تو کیا ,urdu,20.45,0.07,0.35,0.2,17.67,0.0,17.67,0.0,0.0,0.0,0.0,0.01,5809.89,0.47,5866.93,0
Agar main short-term loan le kar invest karun to kya yeh fin,roman_urdu,20.87,0.06,0.37,0.21,16.8,0.0,16.8,0.0,0.0,0.0,0.0,0.01,1866.91,0.46,1922.62,0
پاکستان میں سرمایہ کاری پر منافع کو ٹیکس کے بعد کیسے حساب کر,urdu,21.38,0.14,0.38,0.23,18.23,0.0,18.23,0.0,0.0,0.0,0.0,0.01,5801.99,0.48,5861.25,0
کیا Easypaisa account سے loan لیا جا سکتا ہے؟,urdu,21.59,0.06,0.37,0.2,16.1,0.0,16.1,0.0,0.0,0.0,0.0,0.01,3632.39,0.44,3687.38,0
پاکستان میں خاندانی کاروبار کی مالی خامیاں کیا ہیں اور انہیں,urdu,21.17,0.07,0.42,0.22,17.77,0.0,17.77,0.0,0.0,0.0,0.0,0.01,4738.93,0.58,4797.06,0
پاکستان میں این بی پی کا گرین بینکنگ پروگرام کیا ہے؟,urdu,21.38,0.06,0.36,0.18,16.67,0.0,16.67,0.0,0.0,0.0,0.0,0.01,5582.74,0.57,5638.78,0
اگر میں Pakistan میں کسی کو Raast سے پیسے بھیجوں تو کیا وہ ف,urdu,20.85,0.2,0.36,0.23,17.6,0.0,17.6,0.0,0.0,0.0,0.0,0.01,5624.86,0.48,5682.38,0
شادی کے اخراجات کے لیے اسلامی طریقے سے قرض لینا جائز ہے؟,urdu,22.97,0.07,0.39,0.2,20.86,0.0,20.86,0.0,0.0,0.0,0.0,0.01,4592.79,0.47,4658.7699999999995,0
کیا non-Muslim Pakistan میں Islamic banking استعمال کر سکتے ,urdu,20.87,0.06,0.43,0.21,17.03,0.0,17.03,0.0,0.0,0.0,0.0,0.01,4383.44,0.43,4439.64,0
Pakistan میں Allied Bank سے personal loan کیسے لیں؟,urdu,22.1,0.05,0.42,0.19,16.34,0.0,16.34,0.0,0.0,0.0,0.0,0.01,3482.9,0.4,3538.93,0
Pakistan mein ek naya dukandaar ki kaunsi common financial m,roman_urdu,20.65,0.06,0.54,0.19,16.45,0.0,16.45,0.0,0.0,0.0,0.0,0.01,2609.97,0.41,2664.85,0
پاکستان میں کیا خواتین کا الگ بینک اکاونٹ ہونا ضروری ہے؟,urdu,19.92,0.06,0.41,0.17,17.14,0.0,17.14,0.0,0.0,0.0,0.0,0.01,4572.07,0.4,4627.44,0
پاکستان میں اگر دوست یا رشتہ دار قرضہ واپس نہ کرے تو کیا کری,urdu,20.44,0.06,0.39,0.18,18.36,0.0,18.36,0.0,0.0,0.0,0.0,0.01,5513.32,0.43,5571.72,0
Apne bachon ke naam par investment kaise shuru karein?,roman_urdu,20.53,0.05,0.41,0.19,16.25,0.0,16.25,0.0,0.0,0.0,0.0,0.02,3463.72,0.51,3518.07,0
سولر پینل لگانے کے لیے قرض کہاں سے ملے گا؟,urdu,20.97,0.05,0.45,0.17,17.57,0.0,17.57,0.0,0.0,0.0,0.0,0.01,5599.09,0.44,5656.450000000001,0
Pakistan mein mutual fund mein invest karne ke liye minimum ,roman_urdu,19.21,0.05,0.42,0.19,16.18,0.0,16.18,0.0,0.0,0.0,0.0,0.01,4415.13,0.48,4467.9800000000005,0
پاکستان میں ایزی پیسہ اور جیز کیش کے علاوہ کون سے موبائل وال,urdu,21.74,0.07,0.45,0.2,17.39,0.0,17.39,0.0,0.0,0.0,0.0,0.01,5517.26,0.44,5575.08,0
پاکستان میں اگر کمپنی بند ہو جائے تو ملازمین کو تنخواہ کیسے ,urdu,20.01,0.06,0.41,0.18,17.39,0.0,17.39,0.0,0.0,0.0,0.0,0.01,4404.52,0.42,4460.530000000001,0
پاکستان میں ایزی پیسہ کی مرچنٹ فیس کتنی ہے؟,urdu,20.39,0.05,0.41,0.16,14.83,0.0,14.83,0.0,0.0,0.0,0.0,0.01,4576.94,0.48,4628.219999999999,0
Pakistan mein Bahbood Certificate par tax lagta hai ya nahi?,roman_urdu,21.87,0.05,0.46,0.19,16.35,0.0,16.35,0.0,0.0,0.0,0.0,0.03,3360.91,0.43,3416.7599999999998,0
Nayapay se paisa kaise bhejna hai kisi ko?,roman_urdu,20.79,0.04,0.46,0.24,16.02,0.0,16.02,0.0,0.0,0.0,0.0,0.01,4744.14,0.48,4798.32,0
Pakistan میں tax deductible allowances کون سی ہیں؟,urdu,22.55,0.05,0.42,0.22,16.28,0.0,16.28,0.0,0.0,0.0,0.0,0.01,3360.44,0.48,3416.85,0
پاکستان میں کیا اسلامی بینک قرضہ نہ دینے کی صورت میں اثاثے ض,urdu,22.16,0.07,0.45,0.23,19.2,0.0,19.2,0.0,0.0,0.0,0.0,0.01,4429.05,0.44,4490.9400000000005,0
Pakistan mein online business ke liye payment gateway choose,roman_urdu,20.08,0.07,0.44,0.21,17.91,0.0,17.91,0.0,0.0,0.0,0.0,0.01,3321.59,0.47,3378.8199999999997,0
Roshan Digital Account کیا ہے اور overseas Pakistanis اسے کی,urdu,19.76,0.06,0.42,0.19,16.09,0.0,16.09,0.0,0.0,0.0,0.0,0.01,3526.14,0.49,3579.37,0
Pakistan میں کیا Halal stocks میں leverage (margin trading) ,urdu,20.73,0.06,0.42,0.19,15.41,0.0,15.41,0.0,0.0,0.0,0.0,0.01,4600.08,0.46,4652.9,0
پاکستان میں تجارتی قرضے اور ذاتی قرضے میں کیا بنیادی فرق ہے؟,urdu,21.44,0.12,0.45,0.36,17.84,0.0,17.84,0.0,0.0,0.0,0.0,0.01,5623.17,0.46,5681.84,0
پاکستان میں کیا کوئی شخص ایک سے زیادہ اسلامی بینک میں اکاونٹ,urdu,21.75,0.13,0.76,0.28,17.68,0.0,17.68,0.0,0.0,0.0,0.0,0.01,5715.16,0.71,5774.3099999999995,0
Pakistan mein ATM se kitni baar paisa nikal sakte hain ek di,roman_urdu,20.56,0.08,0.46,0.18,16.64,0.0,16.64,0.0,0.0,0.0,0.0,0.01,4605.38,0.48,4660.570000000001,0
Pakistan mein credit score ka concept kya hai aur loan lene ,roman_urdu,21.21,0.08,0.44,0.21,18.21,0.0,18.21,0.0,0.0,0.0,0.0,0.01,2355.89,0.63,2415.02,0
Pakistan میں Islamic banking میں 'declared rate' کیا ہوتا ہے,urdu,21.77,0.06,0.52,0.18,16.43,0.0,16.43,0.0,0.0,0.0,0.0,0.01,4430.13,0.48,4486.139999999999,0
Financial goals set karte waqt Pakistan mein realistic appro,roman_urdu,20.83,0.07,0.49,0.2,16.64,0.0,16.64,0.0,0.0,0.0,0.0,0.01,1254.89,0.49,1310.39,0
Pakistan میں کون سے halal food stocks ہیں PSX پر؟,urdu,21.09,0.07,0.41,0.2,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.01,4678.0,0.52,4732.42,0
Raast سے بڑی رقم جیسے 10 لاکھ روپے بھیجنے کی کیا حدود ہیں؟,urdu,20.99,0.06,0.42,0.18,16.84,0.0,16.84,0.0,0.0,0.0,0.0,0.01,4936.7,0.54,4992.71,0
